t,S_mean,S_var,Mz_mean,Mz_var
4.405527638190954498e+00,2.204138692322279436e+00,1.341298799420146716e-02,-2.016927310286698635e-03,5.261268834915469811e-04
4.465326633165829229e+00,2.195609859200887914e+00,1.476229069514140013e-02,-2.719902814912621061e-03,4.873477311336223486e-04
4.525125628140703959e+00,2.185880475073307405e+00,1.618171331798335180e-02,-3.422598241118763197e-03,4.392804824553127427e-04
4.584924623115577802e+00,2.176139871569484630e+00,1.760687966243305869e-02,-4.062444218189053755e-03,3.843872338852621548e-04
4.644723618090452533e+00,2.167423220072009382e+00,1.895972454000699123e-02,-4.587307738973569506e-03,3.258746264649975844e-04
4.704522613065326375e+00,2.160508816047659764e+00,2.015838002601457596e-02,-4.959990177442979639e-03,2.672756451166734379e-04
4.764321608040201106e+00,2.155855696612921424e+00,2.113036352504637713e-02,-5.160606691948448933e-03,2.119707631213764659e-04
4.824120603015075837e+00,2.153592724345300358e+00,2.182683188618530709e-02,-5.186831879096067896e-03,1.627511210667859781e-04
4.883919597989949679e+00,2.153556337846399327e+00,2.223517873451778468e-02,-5.052263354088961690e-03,1.215059171172115838e-04
4.943718592964824410e+00,2.155360700357316528e+00,2.238587701142964390e-02,-4.783301647703821352e-03,8.909235096950501170e-05
5.003517587939698252e+00,2.158487412047438436e+00,2.234968527508424119e-02,-4.415131313531456096e-03,6.538837145627638726e-05
5.063316582914572983e+00,2.162375588862772702e+00,2.222494709907101018e-02,-3.987431057181052042e-03,4.949161821913983234e-05
5.123115577889447714e+00,2.166501541258219365e+00,2.211808517349100542e-02,-3.540337524716578518e-03,4.000281373458047861e-05
5.182914572864321556e+00,2.170429382807745444e+00,2.212464720728382281e-02,-3.111067058159350945e-03,3.532917248465328283e-05
5.242713567839196287e+00,2.173831366227816364e+00,2.231589206878246967e-02,-2.731517294237796600e-03,3.395813402284306474e-05
5.302512562814070129e+00,2.176485076817257447e+00,2.273375747115452539e-02,-2.426822258338989444e-03,3.467517981282829879e-05
5.362311557788944860e+00,2.178258730982275182e+00,2.339238427481923552e-02,-2.214839531222487137e-03,3.671261440008191440e-05
5.422110552763819591e+00,2.179091199246796062e+00,2.428113300458286175e-02,-2.106387509270882339e-03,3.982617308420937399e-05
5.481909547738693433e+00,2.178971716896175970e+00,2.536706568917174165e-02,-2.105888991781388123e-03,4.429675056415094192e-05
5.541708542713568164e+00,2.177925438325690966e+00,2.659746396759103335e-02,-2.212244874565348022e-03,5.085541967189820565e-05
5.601507537688442007e+00,2.176008852690918260e+00,2.790443068550987546e-02,-2.419644631103909892e-03,6.053591831241810097e-05
5.661306532663316737e+00,2.173310442005259802e+00,2.921163871323308528e-02,-2.718249108023990199e-03,7.446805380483179819e-05
5.721105527638191468e+00,2.169954355871337448e+00,3.044212760805295459e-02,-3.094669662396248942e-03,9.363679179292154822e-05
5.780904522613065311e+00,2.166100090145198553e+00,3.152574623764179546e-02,-3.532358940268782305e-03,1.186379291096962256e-04
5.840703517587940041e+00,2.161940326692948222e+00,3.240662235290680399e-02,-4.011997114749111908e-03,1.494622722900639498e-04
5.900502512562813884e+00,2.157693561430450213e+00,3.305035666399031014e-02,-4.512093686080225624e-03,1.853381582131732820e-04
5.960301507537688614e+00,2.153591419027371057e+00,3.345015570478146461e-02,-5.009853002172994299e-03,2.246606125707959617e-04
6.020100502512563345e+00,2.149862491055447578e+00,3.362904106745417260e-02,-5.482356202383083243e-03,2.650321505647774490e-04
6.079899497487437188e+00,2.146711577330554288e+00,3.363628339743356815e-02,-5.908052078392615758e-03,3.034388465743470867e-04
6.139698492462311918e+00,2.144305348048201054e+00,3.353661903065219968e-02,-6.268237310344131757e-03,3.365755790778843129e-04
6.199497487437185761e+00,2.142760241951380262e+00,3.339752841898657731e-02,-6.548426448797189069e-03,3.613096624626046627e-04
6.259296482412060492e+00,2.142134452545179535e+00,3.327742523251472906e-02,-6.739328187594893771e-03,3.752291783716316283e-04
6.319095477386935222e+00,2.142426215595905958e+00,3.321972173305737241e-02,-6.837214562952119261e-03,3.771818931873467087e-04
6.378894472361809065e+00,2.143579046292695356e+00,3.325311811944484802e-02,-6.843639650714446188e-03,3.676710803524844019e-04
6.438693467336683796e+00,2.145495556437558626e+00,3.339406751613070018e-02,-6.764566960017953656e-03,3.489641722116982453e-04
6.498492462311557638e+00,2.148048618415030475e+00,3.365019897929815568e-02,-6.609085350434063498e-03,3.248201208720229182e-04
6.558291457286432369e+00,2.151089719870312056e+00,3.402351812622120969e-02,-6.387945787042231642e-03,2.998222896930299712e-04
6.618090452261307099e+00,2.154447711787268460e+00,3.451303401271669374e-02,-6.112208004717417480e-03,2.784214428284959280e-04
6.677889447236180942e+00,2.157925414726839630e+00,3.511627041390757986e-02,-5.792311261014751987e-03,2.638960539652721472e-04
6.737688442211055673e+00,2.161307001567607688e+00,3.583120561091728690e-02,-5.437515990575736424e-03,2.575108370054831719e-04
6.797487437185929515e+00,2.164377299581464964e+00,3.665714159643443382e-02,-5.055905738396171759e-03,2.581190089795816316e-04
6.857286432160804246e+00,2.166947354338509601e+00,3.759617591453785074e-02,-4.654721717879004191e-03,2.623736656471440027e-04
6.917085427135678977e+00,2.168883154975439709e+00,3.865434462989612158e-02,-4.240848507968120878e-03,2.655460353476430204e-04
6.976884422110552819e+00,2.170126457391453378e+00,3.984176371281947932e-02,-3.821290404895526151e-03,2.627760408603147988e-04
7.036683417085427550e+00,2.170698726234953746e+00,4.117023902570564331e-02,-3.403468219551714687e-03,2.504385939620784314e-04
7.096482412060301392e+00,2.170685772048013273e+00,4.264745999423136258e-02,-2.995233256784678513e-03,2.272484926877607777e-04
7.156281407035176123e+00,2.170208026821767611e+00,4.426971437174481022e-02,-2.604672175276372126e-03,1.947669758205454601e-04
7.216080402010050854e+00,2.169386520926047890e+00,4.601594994129876159e-02,-2.239848178899306406e-03,1.571279888498060631e-04
7.275879396984924696e+00,2.168314531307849347e+00,4.784565066998413413e-02,-1.908463585806149899e-03,1.200163206034219140e-04
7.335678391959799427e+00,2.167046972630795931e+00,4.970148873273877443e-02,-1.617600581998780403e-03,8.915898046738305292e-05
7.395477386934673270e+00,2.165607942940237507e+00,5.151339888262496114e-02,-1.373492604520730161e-03,6.875789171348413204e-05
7.455276381909548000e+00,2.164005648542862925e+00,5.320512064561918469e-02,-1.181168095375263044e-03,6.032774822684587200e-05
7.515075376884422731e+00,2.162248549601523795e+00,5.470094246657025011e-02,-1.043924679857027556e-03,6.230279234598626792e-05
7.574874371859296573e+00,2.160358408681400721e+00,5.593190189641400467e-02,-9.625857640684296881e-04,7.054451639789557590e-05
7.634673366834171304e+00,2.158383746380280854e+00,5.684088148396785473e-02,-9.346510104099439503e-04,7.960232576344792937e-05
7.694472361809045147e+00,2.156413423592150380e+00,5.738529750549908881e-02,-9.536265508119683631e-04,8.434794480131554972e-05
7.754271356783919877e+00,2.154579373475945303e+00,5.754079893057442718e-02,-1.008936794154010989e-03,8.148009201419744872e-05
7.814070351758794608e+00,2.153043066070164269e+00,5.730739874403593254e-02,-1.086675014744211331e-03,7.044870321262873948e-05
7.873869346733668451e+00,2.151969411689408140e+00,5.671591058704176375e-02,-1.171440448999979496e-03,5.353199158590041164e-05
7.933668341708543181e+00,2.151502013821214643e+00,5.582894705785005490e-02,-1.249034446305186813e-03,3.507351450960854376e-05
7.993467336683417024e+00,2.151750517989788669e+00,5.472966578201374915e-02,-1.309719181465493877e-03,2.014064174291328271e-05
8.053266331658292643e+00,2.152789010468751041e+00,5.350429025438455805e-02,-1.351093407816069368e-03,1.303972089158139106e-05
8.113065326633165597e+00,2.154650740209115956e+00,5.222872586853286037e-02,-1.380138945971419841e-03,1.613412149718156636e-05
8.172864321608040328e+00,2.157311182922451831e+00,5.096325541836110168e-02,-1.413526404369284603e-03,2.929940860596564042e-05
8.232663316582915058e+00,2.160667141387389467e+00,4.975273988205256709e-02,-1.476085990101733266e-03,5.012032042687962464e-05
8.292462311557789789e+00,2.164529423506730499e+00,4.862934982393962713e-02,-1.597495964741418037e-03,7.469946708006253166e-05
8.352261306532664520e+00,2.168649924585233979e+00,4.761348288715597926e-02,-1.807639670912652248e-03,9.876555406318650570e-05
8.412060301507537474e+00,2.172770795232052077e+00,4.671365548343384827e-02,-2.131741280767319047e-03,1.187184677739520710e-04
8.471859296482412205e+00,2.176673487871902068e+00,4.592965652519035574e-02,-2.585819193285619766e-03,1.323108237092083302e-04
8.531658291457286936e+00,2.180212541659508840e+00,4.525737126237306535e-02,-3.173536311839317194e-03,1.388395190979013858e-04
8.591457286432161666e+00,2.183327794564315028e+00,4.469396404479910462e-02,-3.885037837786754072e-03,1.389020659106717426e-04
8.651256281407036397e+00,2.186036875967719784e+00,4.424123120794933722e-02,-4.697486817392403612e-03,1.338953162663732567e-04
8.711055276381909351e+00,2.188409918365763485e+00,4.390579433230912265e-02,-5.577477835244250455e-03,1.254823653106487311e-04
8.770854271356784082e+00,2.190532211446194921e+00,4.369667122134853615e-02,-6.484620021762854507e-03,1.151909591569102954e-04
8.830653266331658813e+00,2.192469646495931901e+00,4.361924741281871659e-02,-7.375525280624318884e-03,1.042036731149104676e-04
8.890452261306533543e+00,2.194245439460563940e+00,4.367016225890964914e-02,-8.207869921539361763e-03,9.331625823509385705e-05
8.950251256281408274e+00,2.195837458007565690e+00,4.383442674507928571e-02,-8.943731885995393274e-03,8.298545384285067634e-05
9.010050251256281229e+00,2.197192113951535131e+00,4.408505332573753321e-02,-9.552293758628427334e-03,7.340225443932828946e-05
9.069849246231155959e+00,2.198243030098153472e+00,4.438597856859863300e-02,-1.001172336473317957e-02,6.455987238168584138e-05
9.129648241206030690e+00,2.198924994374758857e+00,4.469777807558059785e-02,-1.031026931149082483e-02,5.631691233764752838e-05
9.189447236180905421e+00,2.199185103329262425e+00,4.498451858684302668e-02,-1.044691747025890127e-02,4.847559606569909707e-05
9.249246231155780151e+00,2.198986847811612133e+00,4.521940758107301922e-02,-1.043141877363747659e-02,4.087705251830126024e-05
9.309045226130653106e+00,2.198309932190385840e+00,4.538695783314149884e-02,-1.028391176900392452e-02,3.350458921349409289e-05
9.368844221105527836e+00,2.197150332136642348e+00,4.548286911298190377e-02,-1.003384189640963396e-02,2.657018255532704417e-05
9.428643216080402567e+00,2.195523497513337308e+00,4.551054350233757484e-02,-9.717980953645776257e-03,2.056095652371664757e-05
9.488442211055277298e+00,2.193472638359379889e+00,4.547544168545015336e-02,-9.377703341463020439e-03,1.623508740933166439e-05
9.548241206030152028e+00,2.191082236867593735e+00,4.538116407581266332e-02,-9.055312680967514405e-03,1.456118579869618820e-05
9.608040201005024983e+00,2.188486009614880601e+00,4.522733717841304069e-02,-8.789753800807743878e-03,1.660286210444121826e-05
9.667839195979899714e+00,2.185866438757183339e+00,4.500870491007183394e-02,-8.612312136389181638e-03,2.335000107567328429e-05
9.727638190954774444e+00,2.183434741583240690e+00,4.471564349796421783e-02,-8.542756788688330230e-03,3.550188208529365345e-05
9.787437185929649175e+00,2.181397780862296631e+00,4.433663972864102659e-02,-8.586556242540621664e-03,5.322495623964344145e-05
9.847236180904523906e+00,2.179922659418704001e+00,4.386494863544252581e-02,-8.733826930888401174e-03,7.592868847123753482e-05
9.907035175879396860e+00,2.179112783888309313e+00,4.330596291993582536e-02,-8.960229587955099648e-03,1.021263828356732962e-04
9.966834170854271591e+00,2.178996929958816775e+00,4.268190096710641063e-02,-9.229665530514156654e-03,1.294542088212078410e-04
1.002663316582914632e+01,2.179531442399561314e+00,4.202908894961456671e-02,-9.498531589463477323e-03,1.548943053161036282e-04
1.008643216080402105e+01,2.180610085441767154e+00,4.139139186028312212e-02,-9.720797059779323623e-03,1.751956897231334031e-04
1.014623115577889578e+01,2.182083326010053614e+00,4.081069473462520941e-02,-9.853004196163771267e-03,1.874278907194715888e-04
1.020603015075376874e+01,2.183774891051798228e+00,4.031883509949458350e-02,-9.858439412368382587e-03,1.895430533661988275e-04
1.026582914572864347e+01,2.185501816908196560e+00,3.993303959320850666e-02,-9.709930786786750631e-03,1.808088098396774899e-04
1.032562814070351820e+01,2.187095565095571459e+00,3.965577961400717361e-02,-9.390880797310372993e-03,1.620083706470405911e-04
1.038542713567839293e+01,2.188421242183542059e+00,3.947640937304654901e-02,-8.894679217904832152e-03,1.353608649479711888e-04
1.044522613065326766e+01,2.189388604845670105e+00,3.937368430710419531e-02,-8.223047798137976538e-03,1.041817796472719514e-04
1.050502512562814061e+01,2.189954934468026249e+00,3.931893813254014325e-02,-7.383887945236432097e-03,7.235947986383973421e-05
1.056482412060301534e+01,2.190120707649457543e+00,3.928022198502176959e-02,-6.389366303457146186e-03,4.374253109726219279e-05
1.062462311557789008e+01,2.189921478495052476e+00,3.922715322741202049e-02,-5.254945207515289256e-03,2.152965570891615988e-05
1.068442211055276481e+01,2.189424143443482684e+00,3.913698544392788664e-02,-3.999612224987119692e-03,7.752721031342706210e-06
1.074422110552763954e+01,2.188727462661058443e+00,3.899947349498895238e-02,-2.647257179386774614e-03,2.932133319002919836e-06
1.080402010050251249e+01,2.187964671203859623e+00,3.881765453884861161e-02,-1.228895211847896027e-03,5.977689589872177748e-06
1.086381909547738722e+01,2.187300015372438899e+00,3.860213861851940348e-02,2.149319993123502556e-04,1.438732325818280979e-05
1.092361809045226195e+01,2.186915833938491982e+00,3.836089896645270003e-02,1.632488679947686561e-03,2.475128753048239200e-05
1.098341708542713668e+01,2.186992470903751595e+00,3.808960261607483022e-02,2.960532027874077706e-03,3.350247945886700987e-05
1.104321608040201141e+01,2.187682222387325570e+00,3.776733424281977780e-02,4.125992450491311990e-03,3.778469651918408808e-05
1.110301507537688437e+01,2.189084026412342787e+00,3.735976071702167695e-02,5.049948266829130256e-03,3.625962688192593288e-05
1.116281407035175910e+01,2.191228285589946090e+00,3.682788187072843361e-02,5.653666581571987516e-03,2.966492472467409153e-05
1.122261306532663383e+01,2.194073032372287457e+00,3.613743509389427677e-02,5.866206580387100904e-03,2.097282043142051572e-05
1.128241206030150856e+01,2.197514880101248735e+00,3.526695259633749052e-02,5.632684403142720377e-03,1.507611322758040918e-05
1.134221105527638329e+01,2.201412378528007974e+00,3.421316605972662961e-02,4.922126815657499634e-03,1.802381139194860114e-05
1.140201005025125625e+01,2.205618866174182457e+00,3.299372055693727823e-02,3.733669065897830385e-03,3.592081845081458296e-05
