tau,S_mean,S_var,Mz_mean,Mz_var
1.805041580437543480e+00,7.616398089931612769e-02,9.557145663112180716e-06,-3.146983394274438517e-03,2.694390726598616749e-05
1.828183139161101867e+00,8.447243034956249119e-02,1.288105619442683719e-05,-3.418870504719939089e-03,3.149490952979728240e-05
1.851324697884660031e+00,9.297539225076145719e-02,1.679543041031161680e-05,-3.697122873635370812e-03,3.652258304116703632e-05
1.874466256608218417e+00,1.021027502739192405e-01,2.184166501726528826e-05,-3.990229977188915374e-03,4.214379608494088101e-05
1.897607815331776582e+00,1.124513693965634720e-01,2.905810388081000594e-05,-4.309957090273038721e-03,4.854257161516624896e-05
1.920749374055334746e+00,1.230422642027240582e-01,3.750820519335295097e-05,-4.637169463365589835e-03,5.556607901423878549e-05
1.943890932778893132e+00,1.339988304016154486e-01,4.754278763311096072e-05,-4.973739732152861366e-03,6.324526135974364329e-05
1.967032491502451297e+00,1.462924871488084921e-01,6.185630990171316318e-05,-5.333769918625985533e-03,7.156998567587874568e-05
1.990174050226009683e+00,1.588739556374566264e-01,7.845233169140264308e-05,-5.702228916564734858e-03,8.063810748029008558e-05
2.013315608949567626e+00,1.718500808264279145e-01,9.794965371840088383e-05,-6.079692889908560292e-03,9.041111952075280434e-05
2.036457167673126012e+00,1.858726014081538980e-01,1.240647201408886634e-04,-6.468804062248446722e-03,1.003754022143225037e-04
2.059598726396684398e+00,2.002234088577508064e-01,1.539828685067811049e-04,-6.867024872707707533e-03,1.111444254882229749e-04
2.082740285120242785e+00,2.150463067359338620e-01,1.896027775513942342e-04,-7.270341753836226557e-03,1.222488418720932095e-04
2.105881843843800727e+00,2.304920874963990174e-01,2.336145462150719416e-04,-7.674534694076778907e-03,1.331209168481354167e-04
2.129023402567359113e+00,2.462994756410804287e-01,2.834086798252196315e-04,-8.088190357769498365e-03,1.447871911857267092e-04
2.152164961290917500e+00,2.624493844864721481e-01,3.431609279096787418e-04,-8.490868100086217465e-03,1.554668256579250782e-04
2.175306520014475442e+00,2.789662666637828248e-01,4.119158941811749616e-04,-8.894634945629288636e-03,1.661287736921687687e-04
2.198448078738033828e+00,2.957593290766575844e-01,4.897620513099823361e-04,-9.297172150388182191e-03,1.766697545795899865e-04
2.221589637461592215e+00,3.126034932940340294e-01,5.797186488912348069e-04,-9.676067442849397779e-03,1.852660744479573318e-04
2.244731196185150157e+00,3.298420030130335689e-01,6.796312999539849209e-04,-1.006383320535828192e-02,1.944428773614705497e-04
2.267872754908708544e+00,3.467754229725144577e-01,7.914390489485136548e-04,-1.041003570834586091e-02,2.004551294213220388e-04
2.291014313632266930e+00,3.640354382016785517e-01,9.148211703031609117e-04,-1.075935254040901769e-02,2.065688125811002444e-04
2.314155872355825316e+00,3.810224341549883209e-01,1.048326921443760084e-03,-1.107263038732372862e-02,2.100882592856797443e-04
2.337297431079383259e+00,3.981077595536994806e-01,1.193424209189421431e-03,-1.137369327595727508e-02,2.126682976517005460e-04
2.360438989802941645e+00,4.149944800158291147e-01,1.346690230844480246e-03,-1.164201460711441170e-02,2.131093470088646585e-04
2.383580548526500031e+00,4.318532516251514797e-01,1.509418050647250717e-03,-1.188848076540540387e-02,2.121445348004696635e-04
2.406722107250057974e+00,4.485824962981066477e-01,1.677127034089785510e-03,-1.210118413230213373e-02,2.093020550511354670e-04
2.429863665973616360e+00,4.653182501741263688e-01,1.851399530305549790e-03,-1.228982193680413885e-02,2.051842211258981293e-04
2.453005224697174746e+00,4.820158882465082617e-01,2.025251405308947043e-03,-1.243904972082409376e-02,1.993030009755604383e-04
2.476146783420732689e+00,4.988796762043509747e-01,2.203937968472292810e-03,-1.256885861138833105e-02,1.926642816617560631e-04
2.499288342144291075e+00,5.158967987571584368e-01,2.374452016762399181e-03,-1.264946276879976537e-02,1.843428443615084645e-04
2.522429900867849462e+00,5.332656723857415182e-01,2.549498076603950916e-03,-1.271694464484961727e-02,1.757756702284503250e-04
2.545571459591407404e+00,5.511506200318520010e-01,2.710650961911996015e-03,-1.272842711430857178e-02,1.659096102923089851e-04
2.568713018314965790e+00,5.696393657791666287e-01,2.872507537619976587e-03,-1.271861440075267892e-02,1.559491136638324767e-04
2.591854577038524177e+00,5.888887591862017601e-01,3.028152253493539628e-03,-1.267038068771000718e-02,1.456235074016232927e-04
2.614996135762082563e+00,6.091959472019211619e-01,3.179933573485954710e-03,-1.257682990833645410e-02,1.354768913315752951e-04
2.638137694485640505e+00,6.303650170743705372e-01,3.333883084738356681e-03,-1.245469500403265616e-02,1.256638802979262481e-04
2.661279253209198892e+00,6.528809099420325168e-01,3.490447713022398757e-03,-1.227679209540320782e-02,1.169295490640976596e-04
2.684420811932757278e+00,6.765870964471704108e-01,3.659017734756018700e-03,-1.205173766662120081e-02,1.098334199219364737e-04
2.707562370656315220e+00,7.013717238725730718e-01,3.842119699792789864e-03,-1.178498244641832012e-02,1.046604929045553511e-04
