t,E_mean,E_var
4.280000000000000000e+04,-3.936000000000000227e+02,5.926399999999999864e+02
4.300000000000000000e+04,-3.416000000000000227e+02,5.030399999999999636e+02
4.320000000000000000e+04,-3.856000000000000227e+02,1.776640000000000100e+03
4.340000000000000000e+04,-3.503999999999999773e+02,3.127039999999999964e+03
4.360000000000000000e+04,-3.816000000000000227e+02,8.742400000000000091e+02
4.380000000000000000e+04,-3.751999999999999886e+02,5.721599999999999682e+02
4.400000000000000000e+04,-3.288000000000000114e+02,9.177599999999999909e+02
4.420000000000000000e+04,-3.920000000000000000e+02,1.638400000000000091e+03
4.440000000000000000e+04,-3.728000000000000114e+02,1.340159999999999854e+03
4.460000000000000000e+04,-3.896000000000000227e+02,8.678399999999999181e+02
4.480000000000000000e+04,-3.808000000000000114e+02,1.020160000000000082e+03
4.500000000000000000e+04,-3.831999999999999886e+02,1.813759999999999764e+03
4.520000000000000000e+04,-3.640000000000000000e+02,1.504000000000000000e+03
4.540000000000000000e+04,-3.480000000000000000e+02,2.105599999999999909e+03
4.560000000000000000e+04,-3.928000000000000114e+02,1.474559999999999945e+03
4.580000000000000000e+04,-3.591999999999999886e+02,6.489600000000000364e+02
4.600000000000000000e+04,-3.831999999999999886e+02,3.737600000000000477e+02
4.620000000000000000e+04,-3.896000000000000227e+02,4.134400000000000546e+02
4.640000000000000000e+04,-3.823999999999999773e+02,1.571840000000000146e+03
4.660000000000000000e+04,-3.768000000000000114e+02,2.044160000000000309e+03
4.680000000000000000e+04,-3.623999999999999773e+02,4.234239999999999782e+03
4.700000000000000000e+04,-3.911999999999999886e+02,2.159359999999999673e+03
4.720000000000000000e+04,-3.751999999999999886e+02,7.833599999999999000e+02
4.740000000000000000e+04,-3.776000000000000227e+02,9.510400000000001910e+02
4.760000000000000000e+04,-3.336000000000000227e+02,3.383039999999999964e+03
4.780000000000000000e+04,-3.591999999999999886e+02,1.692159999999999854e+03
4.800000000000000000e+04,-3.640000000000000000e+02,1.068799999999999955e+03
4.820000000000000000e+04,-3.671999999999999886e+02,4.825600000000000591e+02
4.840000000000000000e+04,-3.976000000000000227e+02,1.245440000000000055e+03
4.860000000000000000e+04,-3.840000000000000000e+02,1.657599999999999909e+03
4.880000000000000000e+04,-3.248000000000000114e+02,1.327360000000000127e+03
4.900000000000000000e+04,-3.800000000000000000e+02,1.299200000000000045e+03
4.920000000000000000e+04,-3.408000000000000114e+02,1.013759999999999877e+03
4.940000000000000000e+04,-4.016000000000000227e+02,5.670399999999999636e+02
4.960000000000000000e+04,-4.111999999999999886e+02,1.045759999999999991e+03
4.980000000000000000e+04,-3.440000000000000000e+02,2.835199999999999818e+03
5.000000000000000000e+04,-3.823999999999999773e+02,6.950399999999999636e+02
