t,S_mean,S_var,Mz_mean,Mz_var
6.169346733668342075e+00,1.139652903211239021e+00,8.691941426179045083e-03,3.501201229791873343e-02,4.888604180049472571e-05
6.219095477386934689e+00,1.144957014669896855e+00,1.013720822153921751e-02,3.354376504139166409e-02,3.918771655821420212e-05
6.268844221105527303e+00,1.149593112970849429e+00,1.185877155614484431e-02,3.131321980249685000e-02,5.629808409209162277e-05
6.318592964824120806e+00,1.152887761588977211e+00,1.380439824988233255e-02,2.834669835354252168e-02,1.024009154038775998e-04
6.368341708542713420e+00,1.154309188204974079e+00,1.589892560036928332e-02,2.467762202423398610e-02,1.757455009271960639e-04
6.418090452261306922e+00,1.153519122832447508e+00,1.804313996116701374e-02,2.035300691470293480e-02,2.708574529888389836e-04
6.467839195979899536e+00,1.150404341534404296e+00,2.011281943423531143e-02,1.543981583844285244e-02,3.794256815696520828e-04
6.517587939698492150e+00,1.145090293115399893e+00,2.196124654407015028e-02,1.002980184734507223e-02,4.916129375824085162e-04
6.567336683417085652e+00,1.137938821374599341e+00,2.342766640108115764e-02,4.241961006497354560e-03,5.974745433200151371e-04
6.617085427135678266e+00,1.129528685150043232e+00,2.435357507398901514e-02,-1.778071472294679269e-03,6.881982980560392678e-04
6.666834170854271768e+00,1.120618018998553511e+00,2.460666718913197271e-02,-7.861882173042787289e-03,7.569549885491702601e-04
6.716582914572864382e+00,1.112079200065636542e+00,2.411065657880056765e-02,-1.382505158026448716e-02,7.992805534723589587e-04
6.766331658291456996e+00,1.104783549648914454e+00,2.287832110061374657e-02,-1.947628778502529662e-02,8.130431267822811267e-04
6.816080402010050499e+00,1.099435748981382632e+00,2.103907097163669124e-02,-2.462780259508699429e-02,7.981325905127687912e-04
6.865829145728643113e+00,1.096451747767598794e+00,1.883152545351556711e-02,-2.910590582774613688e-02,7.560671103729129814e-04
6.915577889447236615e+00,1.095937859782122104e+00,1.653325906334206924e-02,-3.276068145373337709e-02,6.896725734035191171e-04
6.965326633165829229e+00,1.097700733911215920e+00,1.436691611367650091e-02,-3.547386397230645194e-02,6.029337735061674787e-04
7.015075376884421843e+00,1.101333923255787717e+00,1.247169275327325577e-02,-3.716427105003507897e-02,5.010223545572455982e-04
7.064824120603015345e+00,1.106329267801516858e+00,1.091822823907355466e-02,-3.779046684745095142e-02,3.904101989126924671e-04
7.114572864321607959e+00,1.112142548928241270e+00,9.727922355501980242e-03,-3.735070543588450004e-02,2.789389698698185763e-04
7.164321608040201461e+00,1.118263089042260239e+00,8.900265307482118846e-03,-3.588048463087281648e-02,1.756904492084056821e-04
7.214070351758794075e+00,1.124240875501031356e+00,8.428544308457946305e-03,-3.344813471548921391e-02,9.054494372297786249e-05
7.263819095477386689e+00,1.129502314816043684e+00,8.260581174060961304e-03,-3.014908340413665136e-02,3.337265427963510074e-05
7.313567839195980191e+00,1.133438129416708184e+00,8.309645742895886353e-03,-2.609940219161117556e-02,1.288652814990359752e-05
7.363316582914572805e+00,1.135628334560135899e+00,8.486235582649570910e-03,-2.142917952776964355e-02,3.527594845230871945e-05
7.413065326633166308e+00,1.135858030624093518e+00,8.690274293329960584e-03,-1.627619226874522582e-02,1.028201857392602300e-04
7.462814070351758922e+00,1.134102931319490359e+00,8.812690505456426474e-03,-1.078019474649772984e-02,2.127520701434423497e-04
7.512562814070351536e+00,1.130505803522716679e+00,8.750373888734347058e-03,-5.078077308269551664e-03,3.566719232065401063e-04
